clearing_day,market,product,contract,tdate,bartime,mask,open,high,low,close,volume,value,vwap,market_cn,year
20201124,XDCE,Y,Y2108,20201123,21:01,5,0,7206.0,0,7206.0,10,722480,7224.8,大商所,2020
20201125,XDCE,I,I2104,20201124,21:01,5,0,811.5,0,811.5,4,324650,811.625,大商所,2020
20201125,XDCE,P,P2104,20201124,21:01,5,0,6450.0,0,6448.0,92,5973580,6493.02,大商所,2020
20201125,XDCE,V,V2103,20201124,21:01,5,0,6930.0,0,6930.0,9,312375,6941.67,大商所,2020
20201125,XDCE,V,V2104,20201124,21:02,5,0,6960.0,0,6960.0,6,208100,6936.67,大商所,2020
20201126,XDCE,EB,EB2104,20201125,21:01,5,0,6780.0,0,6752.0,44,1484870,6749.41,大商所,2020
20201126,XDCE,I,I2104,20201125,21:01,5,0,826.5,0,825.0,11,907950,825.409,大商所,2020
20201126,XDCE,J,J2103,20201125,21:03,5,0,2273.5,0,2273.0,7,1591350,2273.36,大商所,2020
20201126,XDCE,JM,JM2103,20201125,21:02,5,0,1390.0,0,1390.0,5,416880,1389.6,大商所,2020
20201126,XDCE,P,P2104,20201125,21:02,5,0,6516.0,0,6516.0,7,456060,6515.14,大商所,2020
20201126,XDCE,Y,Y2108,20201125,21:01,5,0,7168.0,0,7166.0,8,572660,7158.25,大商所,2020
20201127,XDCE,C,C2103,20201126,21:01,5,0,2628.0,0,2625.0,61,1601820,2625.93,大商所,2020
20201127,XDCE,J,J2103,20201126,21:02,5,0,2318.0,0,2317.0,6,1390450,2317.42,大商所,2020
20201127,XDCE,J,J2104,20201126,21:01,5,0,2298.0,0,2296.5,21,4821300,2295.86,大商所,2020
20201127,XDCE,JM,JM2103,20201126,21:08,5,0,1387.5,0,1387.5,21,1748250,1387.5,大商所,2020
20201127,XDCE,JM,JM2104,20201126,21:09,5,0,1392.5,0,1392.0,6,501240,1392.33,大商所,2020
20201130,XDCE,CS,CS2103,20201127,21:01,5,0,2920.0,0,2916.0,59,1722040,2918.71,大商所,2020
20201130,XDCE,EB,EB2103,20201127,21:01,5,0,6883.0,0,6848.0,35,1202135,6869.34,大商所,2020
20201130,XDCE,I,I2107,20201127,21:23,5,0,810.0,0,810.0,1,81000,810.0,大商所,2020
20201130,XDCE,J,J2104,20201127,21:01,5,0,2336.5,0,2333.5,8,1866350,2332.94,大商所,2020
20201130,XDCE,M,M2108,20201127,21:02,5,0,3231.0,0,3231.0,1,32310,3231.0,大商所,2020
20201130,XDCE,P,P2104,20201127,21:01,5,0,6592.0,0,6592.0,6,396300,6605.0,大商所,2020
20201201,XDCE,EG,EG2103,20201130,21:01,5,0,3886.0,0,3886.0,2,77760,3888.0,大商所,2020
20201201,XDCE,I,I2104,20201130,21:01,5,0,855.5,0,855.5,90,7722750,858.083,大商所,2020
20201201,XDCE,I,I2107,20201130,21:12,5,0,812.5,0,812.5,1,81250,812.5,大商所,2020
20201201,XDCE,J,J2104,20201130,21:01,5,0,2364.0,0,2364.0,2,473250,2366.25,大商所,2020
20201201,XDCE,JM,JM2103,20201130,21:04,5,0,1397.0,0,1397.0,8,671820,1399.62,大商所,2020
20201201,XDCE,JM,JM2104,20201130,21:01,5,0,1397.5,0,1397.5,18,1512780,1400.72,大商所,2020
20201201,XDCE,Y,Y2108,20201130,21:02,5,0,7100.0,0,7100.0,3,213000,7100.0,大商所,2020
20201202,XDCE,CS,CS2103,20201201,21:01,5,0,3004.0,0,3004.0,136,4081910,3001.4,大商所,2020
20201202,XDCE,EB,EB2104,20201201,21:01,5,0,6744.0,0,6744.0,5,168665,6746.6,大商所,2020
